# GsakName=Denmark
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 57.9524297,54.4516667,12.9058301,7.7153255
54.9866227,12.9037756
54.9734047,12.9055566
54.9601477,12.9058301
54.9409392,12.9042556
54.9277752,12.9015221
54.9190447,12.8988651
54.9136482,12.8969321
54.9008017,12.8912446
54.8797276,12.8720372
54.8705668,12.8613495
54.8632575,12.8503228
54.8595738,12.843944
54.8556041,12.8378368
54.8519398,12.8292867
54.8491916,12.8210419
54.8450649,12.8126938
54.843202,12.8027961
54.8357557,12.7843986
54.8314806,12.7749324
54.8281217,12.7654663
54.824152,12.755084
54.8116322,12.7156925
54.8079679,12.702562
54.8042505,12.6914282
54.7154453,12.4656803
54.6266667,12.24
54.6066667,12.2166667
54.525,12.1616667
54.4683333,12.145
54.455,12.0633333
54.455,12
54.4516667,11.795
54.5541667,11.4466667
54.59,11.3633333
54.6066667,11.2966667
54.6341667,11.255
54.6633333,11.1333333
54.6733333,11
54.7083333,10.905
54.7558333,10.9
54.7468407,10.8281021
54.725,10.8166667
54.7,10.7883333
54.685,10.7583333
54.6733333,10.7541667
54.6425,10.825
54.5766667,10.715
54.5744444,10.67
54.6444444,10.42
54.7333333,10.3208333
54.7791667,10.2708333
54.8133333,10.25
54.845,10.25
54.8533333,10.2
54.7381849,10.1693786
54.7639579,10.0868332
54.7660835,10.0515511
54.8417955,9.8943068
54.8233694,9.7397149
54.8248072,9.7336276
54.8250004,9.7328093
54.8378958,9.6770149
54.8440651,9.650332
54.8497053,9.6259249
54.8545174,9.6046324
54.879789,9.6280128
54.8869937,9.5918192
54.8860909,9.5843424
54.841226,9.4977592
